cohortId,targetId,comparator1Id,comparator2Id,comparator3Id,age,sex,race,cvd,renal,tar,met
101100000,10,20,30,40,all,all,all,all,all,ot1,prior
201100000,20,10,30,40,all,all,all,all,all,ot1,prior
301100000,30,10,20,40,all,all,all,all,all,ot1,prior
401100000,40,10,20,30,all,all,all,all,all,ot1,prior
101110000,10,20,30,40,younger,all,all,all,all,ot1,prior
201110000,20,10,30,40,younger,all,all,all,all,ot1,prior
301110000,30,10,20,40,younger,all,all,all,all,ot1,prior
401110000,40,10,20,30,younger,all,all,all,all,ot1,prior
101120000,10,20,30,40,middle,all,all,all,all,ot1,prior
201120000,20,10,30,40,middle,all,all,all,all,ot1,prior
301120000,30,10,20,40,middle,all,all,all,all,ot1,prior
401120000,40,10,20,30,middle,all,all,all,all,ot1,prior
101130000,10,20,30,40,older,all,all,all,all,ot1,prior
201130000,20,10,30,40,older,all,all,all,all,ot1,prior
301130000,30,10,20,40,older,all,all,all,all,ot1,prior
401130000,40,10,20,30,older,all,all,all,all,ot1,prior
101100010,10,20,30,40,all,all,all,low,all,ot1,prior
201100010,20,10,30,40,all,all,all,low,all,ot1,prior
301100010,30,10,20,40,all,all,all,low,all,ot1,prior
401100010,40,10,20,30,all,all,all,low,all,ot1,prior
101100020,10,20,30,40,all,all,all,higher,all,ot1,prior
201100020,20,10,30,40,all,all,all,higher,all,ot1,prior
301100020,30,10,20,40,all,all,all,higher,all,ot1,prior
401100020,40,10,20,30,all,all,all,higher,all,ot1,prior
101101000,10,20,30,40,all,female,all,all,all,ot1,prior
201101000,20,10,30,40,all,female,all,all,all,ot1,prior
301101000,30,10,20,40,all,female,all,all,all,ot1,prior
401101000,40,10,20,30,all,female,all,all,all,ot1,prior
101102000,10,20,30,40,all,male,all,all,all,ot1,prior
201102000,20,10,30,40,all,male,all,all,all,ot1,prior
301102000,30,10,20,40,all,male,all,all,all,ot1,prior
401102000,40,10,20,30,all,male,all,all,all,ot1,prior
101100100,10,20,30,40,all,all,black,all,all,ot1,prior
201100100,20,10,30,40,all,all,black,all,all,ot1,prior
301100100,30,10,20,40,all,all,black,all,all,ot1,prior
401100100,40,10,20,30,all,all,black,all,all,ot1,prior
101100001,10,20,30,40,all,all,all,all,without,ot1,prior
201100001,20,10,30,40,all,all,all,all,without,ot1,prior
301100001,30,10,20,40,all,all,all,all,without,ot1,prior
401100001,40,10,20,30,all,all,all,all,without,ot1,prior
101100002,10,20,30,40,all,all,all,all,with,ot1,prior
201100002,20,10,30,40,all,all,all,all,with,ot1,prior
301100002,30,10,20,40,all,all,all,all,with,ot1,prior
401100002,40,10,20,30,all,all,all,all,with,ot1,prior
102100000,10,20,30,40,all,all,all,all,all,ot2,prior
202100000,20,10,30,40,all,all,all,all,all,ot2,prior
302100000,30,10,20,40,all,all,all,all,all,ot2,prior
402100000,40,10,20,30,all,all,all,all,all,ot2,prior
102110000,10,20,30,40,younger,all,all,all,all,ot2,prior
202110000,20,10,30,40,younger,all,all,all,all,ot2,prior
302110000,30,10,20,40,younger,all,all,all,all,ot2,prior
402110000,40,10,20,30,younger,all,all,all,all,ot2,prior
102120000,10,20,30,40,middle,all,all,all,all,ot2,prior
202120000,20,10,30,40,middle,all,all,all,all,ot2,prior
302120000,30,10,20,40,middle,all,all,all,all,ot2,prior
402120000,40,10,20,30,middle,all,all,all,all,ot2,prior
102130000,10,20,30,40,older,all,all,all,all,ot2,prior
202130000,20,10,30,40,older,all,all,all,all,ot2,prior
302130000,30,10,20,40,older,all,all,all,all,ot2,prior
402130000,40,10,20,30,older,all,all,all,all,ot2,prior
102100010,10,20,30,40,all,all,all,low,all,ot2,prior
202100010,20,10,30,40,all,all,all,low,all,ot2,prior
302100010,30,10,20,40,all,all,all,low,all,ot2,prior
402100010,40,10,20,30,all,all,all,low,all,ot2,prior
102100020,10,20,30,40,all,all,all,higher,all,ot2,prior
202100020,20,10,30,40,all,all,all,higher,all,ot2,prior
302100020,30,10,20,40,all,all,all,higher,all,ot2,prior
402100020,40,10,20,30,all,all,all,higher,all,ot2,prior
102101000,10,20,30,40,all,female,all,all,all,ot2,prior
202101000,20,10,30,40,all,female,all,all,all,ot2,prior
302101000,30,10,20,40,all,female,all,all,all,ot2,prior
402101000,40,10,20,30,all,female,all,all,all,ot2,prior
102102000,10,20,30,40,all,male,all,all,all,ot2,prior
202102000,20,10,30,40,all,male,all,all,all,ot2,prior
302102000,30,10,20,40,all,male,all,all,all,ot2,prior
402102000,40,10,20,30,all,male,all,all,all,ot2,prior
102100100,10,20,30,40,all,all,black,all,all,ot2,prior
202100100,20,10,30,40,all,all,black,all,all,ot2,prior
302100100,30,10,20,40,all,all,black,all,all,ot2,prior
402100100,40,10,20,30,all,all,black,all,all,ot2,prior
102100001,10,20,30,40,all,all,all,all,without,ot2,prior
202100001,20,10,30,40,all,all,all,all,without,ot2,prior
302100001,30,10,20,40,all,all,all,all,without,ot2,prior
402100001,40,10,20,30,all,all,all,all,without,ot2,prior
102100002,10,20,30,40,all,all,all,all,with,ot2,prior
202100002,20,10,30,40,all,all,all,all,with,ot2,prior
