atlasId,atlasName,cohortId,name
101202000,DPP4I no-met male,101202000,class/ID101202000
201202000,GLP1RA no-met male,201202000,class/ID201202000
301202000,SGLT2I no-met male,301202000,class/ID301202000
401202000,SU no-met male,401202000,class/ID401202000
101200100,DPP4I no-met black,101200100,class/ID101200100
201200100,GLP1RA no-met black,201200100,class/ID201200100
301200100,SGLT2I no-met black,301200100,class/ID301200100
401200100,SU no-met black,401200100,class/ID401200100
101200001,DPP4I no-met without-rdz,101200001,class/ID101200001
201200001,GLP1RA no-met without-rdz,201200001,class/ID201200001
301200001,SGLT2I no-met without-rdz,301200001,class/ID301200001
401200001,SU no-met without-rdz,401200001,class/ID401200001
101200002,DPP4I no-met with-rdz,101200002,class/ID101200002
201200002,GLP1RA no-met with-rdz,201200002,class/ID201200002
301200002,SGLT2I no-met with-rdz,301200002,class/ID301200002
401200002,SU no-met with-rdz,401200002,class/ID401200002
102200000,DPP4I main ot2 no-met,102200000,class/ID102200000
202200000,GLP1RA main ot2 no-met,202200000,class/ID202200000
302200000,SGLT2I main ot2 no-met,302200000,class/ID302200000
402200000,SU main ot2 no-met,402200000,class/ID402200000
102210000,DPP4I ot2 no-met younger-age,102210000,class/ID102210000
202210000,GLP1RA ot2 no-met younger-age,202210000,class/ID202210000
302210000,SGLT2I ot2 no-met younger-age,302210000,class/ID302210000
402210000,SU ot2 no-met younger-age,402210000,class/ID402210000
102220000,DPP4I ot2 no-met middle-age,102220000,class/ID102220000
202220000,GLP1RA ot2 no-met middle-age,202220000,class/ID202220000
302220000,SGLT2I ot2 no-met middle-age,302220000,class/ID302220000
402220000,SU ot2 no-met middle-age,402220000,class/ID402220000
102230000,DPP4I ot2 no-met older-age,102230000,class/ID102230000
202230000,GLP1RA ot2 no-met older-age,202230000,class/ID202230000
302230000,SGLT2I ot2 no-met older-age,302230000,class/ID302230000
402230000,SU ot2 no-met older-age,402230000,class/ID402230000
102200010,DPP4I ot2 no-met low-cvr,102200010,class/ID102200010
202200010,GLP1RA ot2 no-met low-cvr,202200010,class/ID202200010
302200010,SGLT2I ot2 no-met low-cvr,302200010,class/ID302200010
402200010,SU ot2 no-met low-cvr,402200010,class/ID402200010
102200020,DPP4I ot2 no-met higher-cvr,102200020,class/ID102200020
202200020,GLP1RA ot2 no-met higher-cvr,202200020,class/ID202200020
302200020,SGLT2I ot2 no-met higher-cvr,302200020,class/ID302200020
402200020,SU ot2 no-met higher-cvr,402200020,class/ID402200020
102201000,DPP4I ot2 no-met female,102201000,class/ID102201000
202201000,GLP1RA ot2 no-met female,202201000,class/ID202201000
302201000,SGLT2I ot2 no-met female,302201000,class/ID302201000
402201000,SU ot2 no-met female,402201000,class/ID402201000
102202000,DPP4I ot2 no-met male,102202000,class/ID102202000
202202000,GLP1RA ot2 no-met male,202202000,class/ID202202000
302202000,SGLT2I ot2 no-met male,302202000,class/ID302202000
402202000,SU ot2 no-met male,402202000,class/ID402202000
102200100,DPP4I ot2 no-met black,102200100,class/ID102200100
202200100,GLP1RA ot2 no-met black,202200100,class/ID202200100
302200100,SGLT2I ot2 no-met black,302200100,class/ID302200100
402200100,SU ot2 no-met black,402200100,class/ID402200100
102200001,DPP4I ot2 no-met without-rdz,102200001,class/ID102200001
202200001,GLP1RA ot2 no-met without-rdz,202200001,class/ID202200001
302200001,SGLT2I ot2 no-met without-rdz,302200001,class/ID302200001
402200001,SU ot2 no-met without-rdz,402200001,class/ID402200001
102200002,DPP4I ot2 no-met with-rdz,102200002,class/ID102200002
202200002,GLP1RA ot2 no-met with-rdz,202200002,class/ID202200002
302200002,SGLT2I ot2 no-met with-rdz,302200002,class/ID302200002
402200002,SU ot2 no-met with-rdz,402200002,class/ID402200002
